university,file_path,status_or_license
Wheaton College,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/79/Wheaton_college_textlogo.png
College of Church Music Dresden,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HFKD-Logo.svg
Evangelical School of Social Work & Diakonie,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Evangelische%20Hochschule%20f%C3%BCr%20Soziale%20Arbeit%20%26%20Diakonie%20Hamburg%202024-06-06.svg
Protestant College for Church Music in Halle,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20EHKH.svg
Evangelische Hochschule Darmstadt,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo_EHD.svg
Protestant College for Social service Dresden,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Ehs%20Dresden%20Logo%20web.png
Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HochschuleFurKirchenmusik.svg
Hochschule für Katholische Kirchenmusik und Musikpädagogik Regensburg,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Hochschule%20f%C3%BCr%20katholische%20Kirchenmusik%20und%20Musikp%C3%A4dagogik%20Regensburg%202024-06-01.svg
Evangelische Hochschule für Kirchenmusik Tübingen,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/82/HKM-Logo.jpg
Hochschule für evangelische Kirchenmusik Bayreuth,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Hochschule%20f%C3%BCr%20evangelische%20Kirchenmusik%20Bayreuth%202024-06-04.svg
Theologisches Seminar Elstal,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20THE.svg
Katholische Hochschule Nordrhein-Westfalen,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KatHO-NRW-logo.svg
Catholic University of Applied Social Sciences,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Katholische%20Hochschule%20f%C3%BCr%20Sozialwesen%20Berlin%20%28Logo%29.svg
Abilene Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Abilene%20Christian%20University%20wordmark.png
Northwestern College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Northwestern%20college%20iowa%20logo.png
Cologne University of Catholic Theology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20K%C3%B6lner%20Hochschule%20f%C3%BCr%20Katholische%20Theologie%202024-05-31.svg
Liberty University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/2/22/Liberty_University_logo.svg
Academy of Christian Humanism University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Academialogo.png
Divine Faculty of Fulda,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Theologische%20Fakult%C3%A4t%20Fulda%202024-07-25.svg
Theologische Hochschule Ewersbach,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/FeG%20Theologische%20Hochschule%20Ewersbach.png
Reutlingen School of Theology,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Theologische%20Hochschule%20Reutlingen%20Logo.svg
Texas Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Texas_Christian_University_wordmark.svg
Hope College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Hope%20college%20textlogo.png
Calvin University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Calvin%20univ%20full%20logo.png
Seattle Pacific University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Seattle%20pacific%20univ%20logo.png
Fresno Pacific University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Fresno%20pacific%20univ%20simplelogo.png
Eastern Nazarene College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/East%20nazarene%20college%20textlogo.png
Sungkyul University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/%EC%84%B1%EA%B2%B0%EB%8C%80%EB%A1%9C%EA%B3%A0.png
Messiah University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Messiah%20univ%20textlogo.png
Divine Faculty of Fulda,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/64/Fulda%2C_Theologische_Fakult%C3%A4t_-_Schild.JPG
Pacific Union College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Pacific%20Union%20College%20Logo.png
Westmont College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Westmont%20college%20textlogo.png
North Park University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/North%20park%20univ%20textlogo.png
The Master's University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Tmu%20logo%20navy-gold.png
Philippine Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/PhilippineChristianUniversityjf0214%2005.JPG
Oral Roberts University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Oral_Roberts_University_logo.png
Carson Newman University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Carson%E2%80%93Newman%20logo.png
Houghton University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Houghton%20univ%20logotype.png
Azusa Pacific University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Azusa%20pacific%20univ%20logo.svg
Evangel University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Evangel%20University%20logo.svg
Faulkner University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Faulkner%20univ%20textlogo.png
Alphacrucis College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/AlphacrucisCollegeLogo-01.jpg
Bethel University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/79/Bethel_univ_minn_logo.png
Belhaven University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Belhaven%20University%20Main%20Logo.png
Bluefield University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Bluefield%20univ%20textlogo.png
Arizona Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Arizona%20christian%20univ%20logo.png
Anderson University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Anderson_univ_indiana_logo.png
Anderson University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Anderson_univ_logo_text.png
Cedarville University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Cedarville%20univ%20textlogo.png
Colorado Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Colorado%20christian%20univ%20textlogo.png
Concordia College New York,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Concordia%20College%20New%20York%20Logo%20small.png
Concordia University Irvine,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Concordia%20University%20Irvine%20logo.svg
Concordia University Chicago,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Concordia%20univ%20chicago%20textlogo.png
Cornerstone University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Welch%20Clock%20Tower.jpg
Cairn University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Cairn_univ_textlogo.png
Crown College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Crown%20college%20logo.png
Dallas Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Dallas%20baptist%20univ%20simple%20logo.png
Southern Wesleyan University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/South%20wesleyan%20univ%20logo.png
George Fox University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/George%20fox%20univ%20fulllogo.png
East Texas Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Etbu%20logo.png
Geneva College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Geneva%20college%20textlogo.png
Emmanuel College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20college%20ma%20logo.png
Silpakorn University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20Silpakorn%20University.svg
University of Colorado,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Colorado%20univ%20system%20logo.png
Thammasat University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Thammasat%20University.svg
Concordia University Wisconsin,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/01/Concordia_univ_wis_textlogo.png
Free University of Bozen-Bolzano,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Free%20University%20of%20Bozen-Bolzano%20logo.svg
University of Eastern Piedmont,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Universit%C3%A0%20del%20Piemonte%20Orientale.png
Utah Tech University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Utah%20Tech%20University%20monogram.svg
University of the Basque Country,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/EHU%20logoa%20-%20letra%20gabe.jpg
University of Bari,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Uniba.svg
Georgetown College,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:Redirect/file/Georgetown_college_ky_logo.png
University of Westminster,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Westminster%20Logo.svg
Universidad Carlos III de Madrid,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20UC3M.svg
VSB – Technical University of Ostrava,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/VSB%20TUO%20official%20logo.png
Facoltà di Lettere Cristiane e Classiche,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/FLCC.jpg
University of Guam,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Guam%20logo.svg
University of Messina,logos/000138_University of Messina_UnimeLogo.gif,ok
Catholic University of the Most Holy Conception,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Ucsc%20logo.png
Southern Connecticut State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Scsu%20univ%20textlogo.png
Far Eastern University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/FEU%20text-01.png
San Francisco State University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Sfrancisco%20state%20univ%20simplelogo.png
Tomas Baťa University in Zlín,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Tomas%20Bata%20University%20in%20Zlin-The%20Sign.png
University of Redlands,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Redlands%20logo.svg
Sacred Heart University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Sacred%20Heart%20University%20logo.png
Eastern Kentucky University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Eastern%20Kentucky%20University%20wordmark.svg
Eastern Mennonite University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Emu%20virginia%20logo.png
Eastern Washington University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Eastern%20Washington%20wordmark.png
University of Franeker,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Zegel%20van%20het%20senaat%20van%20de%20Universiteit%20van%20Franeker.jpg
University of the West of Scotland,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20the%20West%20of%20Scotland%20Logo.svg
University of Theatre and Film Arts,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20szfe.svg
University of Catania,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c2/Logo_UniCT.svg
University of Costa Rica,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20de%20la%20Universidad%20de%20Costa%20Rica.svg
University of Informatics Sciences,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Ucinf%20logo.png
Trinity University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Trinity%20univ%20textlogo.png
University of Detroit Mercy,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/University%20of%20Detroit%20Mercy%20new%20logo.svg
Toyo University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Toyo%20University%20logo.png
Saitama University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Saitama%20Daigaku.svg
Nelson Mandela University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/NMU%20logo.png
Greenville University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Greenville%20univ%20textlogo.png
Technical University of Liberec,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/fc/TU_Liberec_Logo.svg
